angle,xy,yz,xz
-44.8,1.2713259386527982,0.59843,1.6218334682637536
-39.8,1.3173006140752983,0.63011,1.382312884591471
-34.8,1.146302820730882,0.60611,1.4487261949836
-29.8,1.462490889280515,0.6361,1.0812322392542555
-24.8,0.799047730992099,0.63973,1.2100557530008396
-19.8,0.8630990886215106,0.58311,0.861537843829612
-14.8,0.6553386296012728,0.61364,0.842392763465281
-9.8,0.5858741606066368,0.63669,0.874516309536485
-4.8,0.7010498717729765,0.61512,1.1803829627509417
0.2,0.412,0.60912,0.4848668008514794
5.2,0.7647042562830817,0.64077,0.422
10.2,0.5921960073450965,0.60891,0.5041561296570498
15.2,0.9057695815275539,0.6231,0.775571248947134
20.2,0.5851594613726148,0.61646,1.0209028126900244
25.2,0.9530497681118877,0.58674,1.5451098226088933
30.2,1.119732064596377,0.63716,0.8205855269712344
35.2,1.3710289747767839,0.5958,1.15564495076203
40.2,1.0732874615208428,0.58289,1.845
45.2,1.845,0.60098,1.6810271494903133
